endTime,startTime,tz_info,destinations,distanceFromOriginKms
2018-03-10 17:24:10.487,2018-03-07 08:40:49.599,+09:00,ChIJF1gjUkhm5TQRIXljcKvPqxI,1561
2018-03-10 17:24:10.487,2018-03-07 08:40:49.599,+09:00,ChIJi7WmQXFp5TQRmF5YFvav2Cw,1561
2018-03-10 17:24:10.487,2018-03-07 08:40:49.599,+09:00,ChIJGfHjJ8Nx5TQRk3jRkMmxuHA,1561
2018-03-10 17:24:10.487,2018-03-07 08:40:49.599,+09:00,ChIJ2W27OCxU5DQRp7t6hVB8UOk,1561
2018-03-10 17:24:10.487,2018-03-07 08:40:49.599,+09:00,ChIJbfk5DxlX5DQRtUwbbbAseB8,1561
2018-08-10 21:44:48.806,2018-08-01 06:51:00.378,+09:00,ChIJzYy--GxgHWARlWQArrEvdg4,180
2018-08-10 21:44:48.806,2018-08-01 06:51:00.378,+09:00,ChIJXSModoWLGGARILWiCfeu2M0,180
2018-09-08 09:36:10.214,2018-09-05 10:35:51.000,+09:00,ChIJnelsbRW2A2AR7VzBT1UIZ6c,273
2018-09-08 09:36:10.214,2018-09-05 10:35:51.000,+09:00,ChIJfx-w3NOrA2ARTGQAbTv8-5Q,273
2019-03-15 17:20:41.656,2019-03-11 13:26:35.000,+09:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,7790
2019-03-15 17:20:41.656,2019-03-11 13:26:35.000,+09:00,ChIJFw1pHRRzlFQRuWZ_vomzWMY,7790
2019-03-15 17:20:41.656,2019-03-11 13:26:35.000,+09:00,ChIJl7YALrhrlFQRpKIk99Wgilc,7790
2019-06-26 18:37:53.681,2019-06-26 09:28:04.398,+09:00,ChIJXSModoWLGGARILWiCfeu2M0,76
2019-09-17 10:30:22.000,2019-09-13 10:37:23.761,+09:00,ChIJE9on3F3HwoAR9AhGJW_fL-I,1435
2019-09-17 10:30:22.000,2019-09-13 10:37:23.761,+09:00,ChIJZ-hVgPnW3IARYLErmquJqwE,1435
2019-09-17 14:34:48.158,2019-09-17 08:34:00.575,-07:00,ChIJnXleq1ZakVQRCmdEmRyQqvI,65
2019-09-17 14:34:48.158,2019-09-17 08:34:00.575,-07:00,ChIJOwptZ7ZhkVQRzyfCS6nvV48,65
2019-10-04 21:01:46.349,2019-10-04 15:50:09.985,-07:00,ChIJg_kGa26ylVQRaFScoWhPdDk,57
2019-10-04 21:01:46.349,2019-10-04 15:50:09.985,-07:00,ChIJ-RRZyGOvlVQR8-ORLBHVVoQ,57
2019-10-13 10:19:14.121,2019-10-11 16:16:26.593,-07:00,ChIJ-RRZyGOvlVQR8-ORLBHVVoQ,63
2019-10-21 08:52:23.907,2019-10-20 10:12:30.123,-07:00,ChIJi_uVCUR7k1QRv4obofFy3fc,69
2019-12-14 12:48:59.302,2019-12-12 15:44:25.972,-08:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,70
2020-01-02 17:48:32.108,2019-12-29 12:42:22.768,-08:00,ChIJ-RRZyGOvlVQR8-ORLBHVVoQ,65
2020-01-06 08:47:02.055,2020-01-03 16:42:11.000,-08:00,ChIJxXA0BN9CkFQR1YzN8YD2Z-Q,155
2020-01-21 08:44:39.000,2020-01-17 16:06:41.448,-08:00,ChIJmSDHiGahlVQRLunkz3gQxSE,76
2020-02-24 08:43:02.000,2020-02-23 15:52:24.545,-08:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,69
2020-06-29 15:51:40.000,2020-06-27 14:07:32.434,-07:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,51
2021-05-08 16:05:43.037,2021-05-08 08:13:13.000,-07:00,ChIJaVUorsHJkVQRgxuI4pdhFE8,169
2021-05-08 16:05:43.037,2021-05-08 08:13:13.000,-07:00,ChIJVTPokywQkFQRmtVEaUZlJRA,169
2021-06-21 13:44:09.000,2021-06-20 11:17:01.155,-07:00,ChIJOwptZ7ZhkVQRzyfCS6nvV48,65
2021-06-25 17:53:44.048,2021-06-23 15:46:36.000,-07:00,ChIJeeW8Vl8FlVQRhu0zaob_KX0,66
2021-06-25 17:53:44.048,2021-06-23 15:46:36.000,-07:00,ChIJg_kGa26ylVQRaFScoWhPdDk,66
2021-07-31 02:01:32.192,2021-06-25 19:01:28.053,-07:00,ChIJXSModoWLGGARILWiCfeu2M0,7739
2021-07-31 02:01:32.192,2021-06-25 19:01:28.053,-07:00,ChIJFcW9QpvpGGARpS2DJd5GDYQ,7739
2021-07-31 02:01:32.192,2021-06-25 19:01:28.053,-07:00,ChIJmQz-4OjrGGARuO-X2ESX_-o,7739
2021-07-31 02:01:32.192,2021-06-25 19:01:28.053,-07:00,ChIJpYal26LcGGARH10mPNvWxxk,7739
2021-07-31 02:01:32.192,2021-06-25 19:01:28.053,-07:00,ChIJVVg_WJGaGGARM4tTK75ffIg,7739
2021-08-06 21:49:41.000,2021-08-05 10:55:39.470,+09:00,ChIJ_cIjAoIeImARFfAgpEbEyf8,108
2021-08-06 21:49:41.000,2021-08-05 10:55:39.470,+09:00,ChIJr22ny1QuImAR5u6OP1x_p9w,108
2021-08-06 21:49:41.000,2021-08-05 10:55:39.470,+09:00,ChIJhaluUBvwIWARSnPwa6x4eL8,108
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJcY-_yHN6GWAR0_melHB5oDM,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJkZcH5S0WG2ARI_bt4jmbpGc,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJFTBvFv6kA2ARJCp5gAMxOt8,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJgWUMpi-wA2AROAJZAAUmyk0,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJo-KeQm63A2ARL1H7uXE4oaU,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJJbSwBhVNA2ARU-HMOaejt2c,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJH1TTyU2NHGARENTieWS5BTs,277
2021-08-12 20:36:21.000,2021-08-10 10:47:36.999,+09:00,ChIJKQ4GSyXdGGARyPVSmaFRVRo,277
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJZSN7EJ5wA2ARUrPO6NQilio,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJGTWPCMZVAWARJdd6wGL2pOk,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJe9tXqhLrA2ARbT4d_UeGWuQ,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJw275-GfwA2ARZyMCLcRxIeA,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJxW5CEJlQBGARGRH-87cfV_o,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJV6hXbb_-BGARKTa0a3zPOLI,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJXSModoWLGGARILWiCfeu2M0,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJpYal26LcGGARH10mPNvWxxk,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJh9RpcR_DGGAR1GV_GF6QiEw,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJaTJokMHdGGARJNB1gP1jUl0,7741
2021-09-06 08:40:14.046,2021-08-17 06:35:32.999,+09:00,ChIJmQz-4OjrGGARuO-X2ESX_-o,7741
2021-11-17 06:56:14.000,2021-11-11 04:46:30.498,-08:00,ChIJ5ee7MFwYnlQRsdmEC9bJ_N0,453
2021-11-17 06:56:14.000,2021-11-11 04:46:30.498,-08:00,ChIJ_SfoSTU5nlQRza1Ds3Q96HE,453
2021-11-23 22:40:57.065,2021-11-23 17:13:07.112,-08:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,71
2021-12-17 12:02:02.000,2021-12-16 17:51:06.042,-08:00,ChIJnXleq1ZakVQRCmdEmRyQqvI,64
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJ5ee7MFwYnlQRsdmEC9bJ_N0,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJlU3hshSBn1QR8AAEJBabpIY,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJ-RRZyGOvlVQR8-ORLBHVVoQ,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJFcW9QpvpGGARpS2DJd5GDYQ,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJmQz-4OjrGGARuO-X2ESX_-o,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJh9RpcR_DGGAR1GV_GF6QiEw,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJKzpaxVvoGGARJ4u2aMXKQgg,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJpYal26LcGGARH10mPNvWxxk,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJXSModoWLGGARILWiCfeu2M0,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJgWUMpi-wA2AROAJZAAUmyk0,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJfx-w3NOrA2ARTGQAbTv8-5Q,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJFTBvFv6kA2ARJCp5gAMxOt8,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJ_cIjAoIeImARFfAgpEbEyf8,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJPeVVniwxImARRQbDLT2bV3s,7965
2022-07-31 03:24:17.000,2022-06-20 14:01:07.999,-07:00,ChIJr22ny1QuImAR5u6OP1x_p9w,7965
2022-08-07 00:24:47.658,2022-08-04 09:23:55.000,+09:00,ChIJKYSE6aHtQTURg4c5NplyCvY,879
2022-09-26 16:44:12.000,2022-08-09 15:04:49.000,+09:00,ChIJXSModoWLGGARILWiCfeu2M0,457
2022-09-26 16:44:12.000,2022-08-09 15:04:49.000,+09:00,ChIJ6eJNl2iNGGARHfgTt8u-SUA,457
2022-09-26 16:44:12.000,2022-08-09 15:04:49.000,+09:00,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,457
